town,page,page2,url,num,url_num
Oberursel,528,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454687,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454687
Oels,528,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454687,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454687
Oelsnitz,529,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454688,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454688
Oestrich,529,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454688,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454688
Offenbach-on-Main,529,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454688,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454688
Offenburg,534,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454693,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454693
Oldenburg,534,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454693,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454693
Opladen,535,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454694,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454694
Oppau,463,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454622,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454622
Oppeln,536,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454695,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454695
Oranienburg,32,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454191,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454191
Ortelsburg,537,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454696,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454696
Oschersleben,537,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454696,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454696
Osternienburg,541,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454700,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454700
Osnabrück,538,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454697,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454697
Osterode,542,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454701,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454701
