Page,URL,NUM,URL_NUM
665,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454825,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454825
666,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454826,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454826
666a,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454826,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454827
667,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454828,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454828
668,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454829,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454829
669,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454830,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454830
670,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454831,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454831
671,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454832,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454832
672,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454833,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454833
673,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454834,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454834
674,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454835,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454835
675,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454836,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454836
676,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454837,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454837
677,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454838,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454838
